epoch,loss
1,4.630764770507812
2,4.386961364746094
3,4.010548782348633
4,3.591750717163086
5,3.599452590942383
6,3.203755187988281
7,3.5100357055664064
8,3.9636604309082033
9,3.5613277435302733
10,3.4057540893554688
11,3.1698511123657225
12,3.1923107147216796
13,3.333177947998047
14,3.1357412338256836
15,3.023204040527344
16,3.2367130279541017
17,3.1332088470458985
18,2.8606237411499023
19,3.0845428466796876
20,3.0993524551391602
21,2.8994543075561525
22,3.2464645385742186
23,3.063187026977539
24,3.428883361816406
25,3.0374776840209963
26,2.766308403015137
27,3.094990921020508
28,2.9461904525756837
29,2.9638465881347655
30,2.8635671615600584
31,2.99292049407959
32,2.8728199005126953
33,3.3200260162353517
34,2.7943803787231447
35,2.8669052124023438
36,2.766242790222168
37,2.7903678894042967
38,2.982442283630371
39,2.8800048828125
40,2.9355823516845705
41,2.8689327239990234
42,3.0838512420654296
43,2.4845590591430664
44,2.838896942138672
45,2.860727882385254
46,2.8002599716186523
47,2.9545877456665037
48,2.581869697570801
49,2.596710205078125
50,2.605755424499512
51,2.3173471450805665
52,2.7237401962280274
53,2.9890092849731444
54,2.6935901641845703
55,2.6244401931762695
56,2.6667808532714843
57,2.5826663970947266
58,2.4469970703125
59,2.809407615661621
60,2.6532520294189452
61,2.3847375869750977
62,2.7430152893066406
63,2.752054214477539
64,2.5443161010742186
65,2.3807729721069335
66,2.788599395751953
67,2.208431053161621
68,2.7946847915649413
69,2.4570751190185547
70,2.4583778381347656
71,2.372238349914551
72,2.6467731475830076
73,2.556176948547363
74,2.7155643463134767
75,2.3515398025512697
76,2.4266061782836914
77,2.5309122085571287
78,2.817062759399414
79,2.430699348449707
80,2.67419548034668
81,2.584026908874512
82,2.6099754333496095
83,2.6596982955932615
84,2.3629745483398437
85,2.224486541748047
86,2.288034439086914
87,2.7503536224365233
88,2.3506214141845705
89,2.6639204025268555
90,2.560641288757324
91,2.3266599655151365
92,2.2404644012451174
93,2.4903581619262694
94,2.5327272415161133
95,2.41485710144043
96,2.618984413146973
97,2.455390739440918
98,2.483043098449707
99,2.684259605407715
100,2.493950843811035
101,2.3405282974243162
102,2.5740789413452148
103,2.3947097778320314
104,2.461236572265625
105,2.39984130859375
106,2.421767234802246
107,2.483485221862793
108,2.4409841537475585
109,2.6019824981689452
110,2.517227363586426
111,2.327036666870117
112,2.635955238342285
113,2.121002769470215
114,2.151140594482422
115,2.5040653228759764
116,2.854401969909668
117,2.4770782470703123
118,2.708601951599121
119,2.6626775741577147
120,2.325048828125
121,2.210210990905762
122,2.5573410034179687
123,2.622100830078125
124,2.284037208557129
125,2.54565372467041
126,2.511621284484863
127,2.242181968688965
128,2.573141670227051
129,2.280984878540039
130,2.4177118301391602
131,2.2841529846191406
132,2.4106927871704102
133,2.5681007385253904
134,2.564529800415039
135,2.3250125885009765
136,2.340126800537109
137,2.150571823120117
138,2.4762317657470705
139,2.2753627777099608
140,2.359527015686035
141,2.5422433853149413
142,2.3338165283203125
143,2.346485900878906
144,2.380168914794922
145,2.515201950073242
146,1.9793521881103515
147,2.464873695373535
148,2.229134368896484
149,2.483561706542969
150,2.486785125732422
151,2.3230659484863283
152,2.471291351318359
153,2.319430923461914
154,2.4884706497192384
155,2.5779338836669923
156,2.7829362869262697
157,2.4686222076416016
158,2.2765289306640626
159,2.5520627975463865
160,2.2292812347412108
161,2.613642692565918
162,2.3493925094604493
163,2.507177543640137
164,2.1616756439208986
165,2.321675682067871
166,2.3444120407104494
167,2.2445674896240235
168,2.4165382385253906
169,2.2721357345581055
170,2.3422691345214846
171,2.682578277587891
172,2.2620641708374025
173,2.003805732727051
174,2.152042198181152
175,2.34786434173584
176,2.2627046585083006
177,2.6013906478881834
178,2.384086036682129
179,2.504154586791992
180,2.1060794830322265
181,2.091852378845215
182,2.461627960205078
183,2.510508155822754
184,2.337127685546875
185,2.6125972747802733
186,2.523894500732422
187,2.252516174316406
188,2.2098480224609376
189,2.569371795654297
190,1.8533294677734375
191,2.326548194885254
192,2.684696388244629
193,2.678125762939453
194,2.323533058166504
195,2.562005615234375
196,2.312093162536621
197,2.4697742462158203
198,2.4497194290161133
199,2.213758087158203
200,2.1210609436035157
201,2.302113342285156
202,2.3440189361572266
203,2.3179868698120116
204,2.2548053741455076
205,2.2883525848388673
206,2.255367088317871
207,1.8858766555786133
208,2.5667177200317384
209,2.505731964111328
210,2.512307548522949
211,2.3786706924438477
212,2.4104568481445314
213,2.390449333190918
214,2.159645652770996
215,2.6542104721069335
216,2.5560300827026365
217,2.293972206115723
218,2.553455924987793
219,2.275863456726074
220,2.2287612915039063
221,2.2283855438232423
222,2.6165605545043946
223,1.976728630065918
224,2.56451358795166
225,2.1732839584350585
226,2.5713001251220704
227,2.764790725708008
228,2.1825031280517577
229,2.2954057693481444
230,2.2173458099365235
231,2.382766914367676
232,2.2300107955932615
233,2.312062644958496
234,2.1672903060913087
235,2.7354190826416014
236,2.0184051513671877
237,2.3275615692138674
238,2.0983734130859375
239,2.7159343719482423
240,2.644623565673828
241,2.566555976867676
242,2.2392730712890625
243,2.472764015197754
244,2.092279243469238
245,2.450729179382324
246,1.957267951965332
247,2.3196434020996093
248,2.3669593811035154
249,2.2335025787353517
250,2.49440860748291
251,2.137733268737793
252,2.294969367980957
253,2.346305274963379
254,2.1802568435668945
255,2.4224016189575197
256,2.2853649139404295
257,2.2152719497680664
258,2.2304622650146486
259,2.180367088317871
260,2.0997383117675783
261,2.609182357788086
262,2.329954719543457
263,2.5131813049316407
264,2.3290014266967773
265,2.2617424011230467
266,2.342985153198242
267,2.640049362182617
268,2.1889776229858398
269,2.1614664077758787
270,2.182177734375
271,2.2284530639648437
272,2.264456558227539
273,2.5490869522094726
274,2.707034111022949
275,2.3482059478759765
276,2.4848344802856444
277,2.285653305053711
278,2.357395362854004
279,2.715169906616211
280,2.280826187133789
281,2.5585187911987304
282,2.328787612915039
283,2.228483200073242
284,1.939834213256836
285,2.2788131713867186
286,2.536938285827637
287,2.399037170410156
288,2.3493762969970704
289,2.4225717544555665
290,2.373420524597168
291,2.4290674209594725
292,2.4244716644287108
293,2.364651679992676
294,2.7277912139892577
295,2.143732452392578
296,2.0825456619262694
297,2.3038312911987306
298,2.3429441452026367
299,1.894085693359375
